usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
11772,"CORN,sweet, yellow, canned, creamed,NO SALT",72,1.74,0.42,18.13,1.2,3.23,3,0.38,134,3,4.6,74,0.07,0.065,0,256,1 cup,482,"1 can, (303 x 406)"
11174,"CORN,sweet, yellow, canned, creamed,regular pack",72,1.74,0.42,18.13,1.2,3.23,3,0.38,134,285,4.6,74,0.07,0.065,0,256,1 cup,482,"1 can, (303 x 406)"
11177,"CORN,sweet, yellow, canned, drained solids ,RINSED with TAP water",74,2.18,1.43,13.02,,,2,0.22,116,163,1.7,,,0.219,0,266,"1 can, drained, rinsed",150,"1 cup, drained, rinsed"
11771,"CORN,sweet, yellow, canned, NO SALT,solids and LIQUIDS",61,1.95,0.77,13.86,1.7,3.18,4,0.36,136,12,2.6,34,0.03,0.077,0,256,1 cup,482,"1 can, (303 x 406)"
11773,"CORN,sweet, yellow, canned, VACUUM pack,NO SALT",79,2.41,0.5,19.44,2,3.56,5,0.42,186,3,8.1,81,0.04,0.077,0,210,1 cup,340,"1 can, (303 x 406)"
11176,"CORN,sweet, yellow, canned, VACUUM pack,regular pack",79,2.41,0.5,19.44,2,3.56,5,0.42,186,272,8.1,81,0.04,0.077,0,210,1 cup,425,"1 can, 15 oz (303 x 406)"
11172,"CORN,sweet, yellow, canned, whole KERNEL,drained solids ",79,2.46,1.11,17.77,1.9,3.04,4,0.55,138,186,1.6,45,0.07,0.161,0,164,1 cup,211,"1 can, (12 oz) yields"
11179,"CORN,sweet, yellow,frozen,kernels CUT OFF COB, boiled, drained, without SALT",81,2.55,0.67,19.3,2.4,3.07,3,0.47,233,1,3.5,199,0.07,0.103,0,165,1 cup,284,"1 package, (10 oz) yields"
11178,"CORN,sweet, yellow,frozen,kernels CUT OFF COB,unprepared ",88,3.02,0.78,20.71,2.1,2.5,4,0.42,213,3,6.4,195,0.08,0.119,0,136,1 cup,284,1 package
11775,"CORN,sweet, yellow,frozen,kernels ON COB, cooked, boiled, drained, with SALT",94,3.11,0.74,22.33,2.8,3.59,3,0.61,251,240,4.8,232,0.08,0.114,0,165,"1 cup, kernels",63,"1 ear, yields"
11181,"CORN,sweet, yellow,frozen,kernels ON COB, cooked, boiled, drained, without SALT",94,3.11,0.74,22.33,2.8,3.59,3,0.61,251,4,4.8,232,0.08,0.114,0,165,"1 cup, kernels",63,"1 ear, yields"
